Node Name,Mass
MAIN.60,0.004090909
MAIN.61,0.004090909
MAIN.62,0.01227273
MAIN.63,0.006136364
MAIN.64,0.006136364
MAIN.65,0.002045454
MAIN.66,0.002045454
MAIN.67,0.006136364
MAIN.68,0.003068182
MAIN.69,0.006136364
MAIN.7,0.006136364
MAIN.70,0.002045454
MAIN.71,0.002045454
MAIN.72,0.006136364
MAIN.73,0.006136364
MAIN.74,0.01227273
MAIN.75,0.004090909
MAIN.76,0.004090909
MAIN.77,0.01227273
MAIN.78,0.01227273
MAIN.79,0.01227273
MAIN.8,0.006136364
MAIN.80,0.004090909
MAIN.81,0.004090909
MAIN.82,0.01227273
MAIN.83,0.01227273
MAIN.84,0.006136364
MAIN.85,0.002045454
MAIN.86,0.002045454
MAIN.87,0.006136364
MAIN.88,0.01227273
MAIN.89,0.006136364
MAIN.9,0.006136364
MAIN.90,0.002045454
MAIN.91,0.002045454
MAIN.92,0.006136364
MAIN.93,0.01227273
MAIN.94,0.01227273
MAIN.95,0.004090909
MAIN.96,0.004090909
MAIN.97,0.01227273
MAIN.98,0.01227273
MAIN.99,0.01227273
